# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 1500, mean observations per image: 2055.4786666666669
1 0.94835982690893006 0.031204414086675007 0.2881270311842834 0.12892919431882899 5.3949885600977554 -1.1283739096880991 6.3867719752580943 1 1403636625413555456.png
2 0.94808314146024986 0.033634093970334351 0.28827259212278383 0.13002314114214367 5.4022289118454383 -1.1599498309512966 6.3745276056852838 1 1403636625463555584.png
3 0.94793037856171425 0.034996909748948 0.28850728912876494 0.13025650781224032 5.4077815548030328 -1.1823091466870241 6.3637535905038067 1 1403636625513555456.png
4 0.94768984068828344 0.035745500853665735 0.28881071200658726 0.13112817262199888 5.4152945145019391 -1.1905345791359609 6.352939163795889 1 1403636625563555584.png
5 0.9474513069450855 0.035452701661091018 0.28913804934876003 0.13220557980574432 5.4225586889769808 -1.1786744324256848 6.3454525891712308 1 1403636625613555456.png
6 0.94735096967520749 0.034038953714572086 0.28950198098450242 0.13249940713644817 5.4274435781881749 -1.1505953604909631 6.3428263258016351 1 1403636625663555584.png
7 0.94725672619371593 0.031724727270477281 0.29058795784034175 0.131365425887321 5.4379628133168882 -1.1118263003700837 6.3370394876731782 1 1403636625713555456.png
8 0.94728626876160393 0.027660876033173652 0.29133551982086181 0.13041171666496834 5.4424585534222478 -1.0414006192055887 6.3413968541177077 1 1403636625763555584.png
9 0.94732416145455722 0.023837458360590397 0.29230526504538307 0.12871029768466721 5.4490294329169364 -0.97493931623293029 6.3429514487696608 1 1403636625813555456.png
10 0.94740364523078591 0.01948641033607787 0.29350147940822896 0.12610905756849672 5.4566671256580301 -0.90213825242199686 6.3447729114757365 1 1403636625863555584.png
11 0.94743641390851574 0.01703528301298857 0.29439813018922889 0.12411197232307886 5.4638612359245364 -0.8518702136602273 6.3437194924848592 1 1403636625913555456.png
12 0.94744724234166711 0.015047581213568532 0.29508066972354957 0.12265680427229797 5.4701589460128694 -0.80368685201016699 6.3437210365042827 1 1403636625963555584.png
13 0.94744398902257354 0.013521271159762012 0.29575278504275337 0.12123264012085458 5.477122593275018 -0.76230227214183988 6.3420043081347055 1 1403636626013555456.png
14 0.9475244328208392 0.014031368381250017 0.29709702736547006 0.11719183520833645 5.4918860641432161 -0.76765053531330563 6.3307814503316733 1 1403636626063555584.png
15 0.94759020583763265 0.015222086246466668 0.29870005846722897 0.11233594688510039 5.5080073070895503 -0.79100966078725887 6.3125510108604264 1 1403636626113555456.png
16 0.94769442058103759 0.016402355262418764 0.3000536411485456 0.10758280706003515 5.521491665971265 -0.81454712897185477 6.298090890015593 1 1403636626163555584.png
17 0.94774523690746038 0.017504280495918179 0.30126507452332751 0.10349841040323259 5.5334644546040286 -0.83493876644010623 6.2848396871048902 1 1403636626213555456.png
18 0.9477606621371949 0.018294343819575835 0.30201242557051017 0.10101256897284751 5.5407462680957735 -0.84432349316844379 6.2758112905405392 1 1403636626263555584.png
19 0.94771054152361944 0.018560729859810398 0.30250466603508891 0.099955769313625348 5.5458024228110938 -0.84047118731458159 6.2691309239121127 1 1403636626313555456.png
20 0.94769445294321131 0.018415759801238892 0.30249916102626867 0.10015159125053485 5.545178038018701 -0.82661815188494769 6.2673782234707902 1 1403636626363555584.png
21 0.94761006425546179 0.017433961357287042 0.30233349878037719 0.10161534642153174 5.5427786307392211 -0.79521679841094617 6.2680827418752738 1 1403636626413555456.png
22 0.94748982851527885 0.015624997098445965 0.30194133608133189 0.10416483999498646 5.5375080497567915 -0.74670471316240561 6.2721722191836502 1 1403636626463555584.png
23 0.94733791309826454 0.01167972896191889 0.30174231856259265 0.10661161065508817 5.5313626986516198 -0.66707154901785837 6.279539393540527 1 1403636626513555456.png
24 0.94710311922968871 0.0073993988204119161 0.30159448525049981 0.10946093782247911 5.5251031365083554 -0.58059781266860255 6.2867164902061949 1 1403636626563555584.png
25 0.94677905575635779 0.0034679947316534469 0.30173679679456261 0.11203703875860686 5.5216847288470454 -0.50175110786207122 6.290130489972352 1 1403636626613555456.png
26 0.94644155491297266 0.00028417282854672371 0.30193315987210756 0.11438823955880437 5.5189589367839238 -0.43700108215375127 6.2917922226982439 1 1403636626663555584.png
27 0.9461396008160371 0.00016686357686725807 0.30233242793735093 0.11582284291849916 5.5211783210865519 -0.42634637707639139 6.2864809982582788 1 1403636626713555456.png
28 0.94577787655990841 0.0019223775033767542 0.30293546781607034 0.11717770698227564 5.5283724689605966 -0.44571632833812386 6.2760443166005651 1 1403636626763555584.png
29 0.9454970422852188 0.0041159790067198275 0.30330930804426964 0.11841395779394416 5.5331562615910057 -0.47424286117941228 6.2678235466519752 1 1403636626813555456.png
30 0.94521635194088494 0.0070995310084029607 0.30352614868704447 0.1199479960075866 5.5372067772141156 -0.51415180282027817 6.2598543776255395 1 1403636626863555584.png
31 0.94499104584577676 0.010438479966995359 0.30348373084854396 0.12157543550212933 5.5385703493253695 -0.56014935294295543 6.2541495097075819 1 1403636626913555456.png
32 0.94481617014700547 0.013953858995345715 0.30300372400317083 0.12375959634748812 5.5353974009352438 -0.60684057316779394 6.252238666964117 1 1403636626963555584.png
33 0.9446514865823098 0.017365070488094346 0.30266652819542506 0.12539934583124321 5.5333842149042374 -0.65594555260916154 6.2490654077425614 1 1403636627013555456.png
34 0.94456539694427588 0.020468921768406437 0.30212731109174762 0.12687128134298917 5.5281341598017546 -0.70134385176423097 6.2488537260440538 1 1403636627063555584.png
35 0.94435994996100114 0.024362982518039741 0.30186864824304005 0.12832010442795355 5.5278328465737996 -0.75657193545449652 6.2434514748056902 1 1403636627113555456.png
